production_order_id,product_id,plant_id,planned_qty,actual_qty,start_date,end_date,defect_rate_pct,production_cost
PO000000,P00089,PLANT-A,100,1800,2023-07-17,2022-05-17,15,
PO000001,P00194,Plant_A,2000,,2022-12-11,2023-05-08,3.5,80000
PO000002,P00205,Plant_B,100,50,2022-07-13,2023-08-28,0.5,
PO000003,P00241,,2000,400,2023-02-02,2022-11-04,,25000
PO000004,P00106,Plant_B,500,5000,2024-02-08,2022-04-15,15,-5000
PO000005,P00157,,,400,2024-05-01,2022-10-01,3.5,-5000
PO000006,P00168,Plant_B,,1800,2022-03-27,2022-10-31,0.5,-5000
PO000007,P00209,,2000,,2023-09-10,2024-01-27,0.5,
PO000008,P00222,Plant_B,500,,2022-10-03,2022-07-20,1.2,
PO000009,P00069,Plant_A,2000,50,2023-11-02,2023-04-21,3.5,10000
PO000010,P00237,Plant_A,100,400,2022-05-25,2022-04-01,,80000
PO000011,P00147,Plant_B,,1800,2024-06-23,2022-09-26,,25000
PO000012,P00107,Plant_B,100,5000,2023-03-24,2024-03-19,1.2,10000
PO000013,P00200,Plant_B,100,1800,2024-02-27,2022-03-14,,-5000
PO000014,P00126,,2000,,2024-08-26,2022-11-26,,-5000
PO000015,P00181,Plant_B,500,5000,2022-01-12,2024-02-26,,25000
PO000016,P00064,Plant_B,,50,2023-01-19,2023-06-24,3.5,10000
PO000017,P00249,,500,50,2023-02-18,2024-04-11,15,25000
PO000018,P00152,Plant_A,500,50,2023-09-14,2024-10-23,15,80000
PO000019,P00218,,,5000,2024-11-27,2024-01-29,3.5,25000
PO000020,P00065,Plant_A,2000,5000,2023-01-02,2023-07-27,15,80000
PO000021,P00021,PLANT-A,100,400,2022-01-20,2023-03-13,15,10000
PO000022,P00287,Plant_A,2000,,2024-03-21,2023-04-05,,
PO000023,P00062,Plant_B,500,400,2023-10-05,2022-10-31,0.5,10000
PO000024,P00012,,2000,1800,2024-01-08,2024-09-18,0.5,25000
PO000025,P00254,Plant_A,100,400,2023-02-15,2023-09-18,0.5,25000
PO000026,P00032,,2000,,2022-01-16,2024-06-04,0.5,-5000
PO000027,P00261,PLANT-A,100,5000,2022-11-06,2024-04-14,3.5,10000
PO000028,P00033,PLANT-A,500,1800,2022-04-11,2023-12-12,3.5,80000
PO000029,P00077,Plant_B,2000,50,2022-03-02,2022-08-18,,-5000
PO000030,P00289,Plant_A,2000,,2024-01-02,2024-06-08,0.5,
PO000031,P00179,Plant_B,,5000,2022-07-02,2022-12-05,3.5,-5000
PO000032,P00216,Plant_B,2000,5000,2023-07-27,2024-06-21,3.5,-5000
