inventory_id,product_id,warehouse_id,on_hand_qty,reserved_qty,reorder_point,last_restock_date
I000000,P00048,WH02,-100,,100,2022-11-27
I000001,P00150,wh-01,-100,0,100,2021-04-22
I000002,P00097,WH03,0,100,300,2021-02-20
I000003,P00043,,,100,100,2023-06-18
I000004,P00180,wh-01,1000,10,,2022-04-22
I000005,P00166,wh-01,200,,100,2022-12-15
I000006,P00080,WH01,-100,10,300,2024-12-03
I000007,P00297,wh-01,,10,300,2021-04-21
I000008,P00170,WH02,1000,10,500,2023-01-12
I000009,P00283,WH03,50,0,500,2024-01-25
I000010,P00285,WH03,-100,0,100,2021-01-06
I000011,P00094,WH01,-100,0,500,2024-08-08
I000012,P00226,WH03,0,10,,2024-12-30
I000013,P00126,wh-01,50,,,2024-09-21
I000014,P00109,WH03,99999,10,,2021-09-01
I000015,P00259,wh-01,50,0,500,2023-11-22
I000016,P00252,,-100,,500,2024-07-11
I000017,P00295,WH01,0,,500,2024-04-20
I000018,P00123,wh-01,0,100,,2022-06-11
I000019,P00186,wh-01,1000,100,,2021-02-17
I000020,P00147,wh-01,1000,0,300,2021-07-10
I000021,P00129,wh-01,0,100,500,2024-11-29
I000022,P00074,,0,10,,2022-07-09
I000023,P00120,WH01,50,100,500,2022-08-02
I000024,P00035,WH03,99999,,,2022-10-10
I000025,P00254,WH02,,10,,2023-08-27
I000026,P00065,wh-01,-100,,100,2022-08-12
I000027,P00016,wh-01,-100,0,500,2021-12-17
I000028,P00042,WH03,50,10,500,2022-02-04
I000029,P00243,,99999,,300,2022-06-18
I000030,P00060,wh-01,-100,10,500,2022-04-11
I000031,P00298,WH03,0,100,300,2024-09-15
I000032,P00255,,50,,,2021-12-23
I000033,P00187,,1000,0,500,2023-11-08
I000034,P00196,WH03,-100,,,2022-04-04
I000035,P00274,WH03,1000,10,300,2022-08-03
I000036,P00226,WH03,99999,100,,2022-10-26
I000037,P00083,wh-01,0,,300,2022-02-10
I000038,P00158,WH03,,100,,2023-03-18
I000039,P00254,wh-01,0,,500,2021-12-17
I000040,P00055,wh-01,-100,0,300,2021-03-27
I000041,P00129,WH03,-100,,,2022-02-26
I000042,P00227,WH03,200,,100,2024-11-23
I000043,P00285,,200,10,100,2023-10-31
I000044,P00041,WH02,1000,100,,2021-05-30
I000045,P00091,wh-01,1000,,300,2022-05-21
I000046,P00170,wh-01,1000,,,2024-11-16
I000047,P00012,WH01,,100,,2024-10-04
I000048,P00227,wh-01,1000,0,,2021-10-05
I000049,P00139,,0,0,100,2021-08-05
I000050,P00212,wh-01,1000,,300,2022-05-22
I000051,P00212,WH02,-100,10,300,2021-06-22
I000052,P00125,,0,100,300,2023-12-30
I000053,P00196,,50,10,,2023-04-29
I000054,P00021,WH03,,100,100,2023-06-29
I000055,P00125,WH02,0,10,100,2023-07-10
I000056,P00051,wh-01,99999,100,100,2024-01-25
I000057,P00058,WH01,50,,300,2024-12-31
I000058,P00046,,-100,,,2024-08-24
I000059,P00162,WH01,50,10,500,2022-03-27
I000060,P00269,wh-01,50,10,100,2023-01-03
I000061,P00205,wh-01,,100,,2023-12-21
