sales_id,date,product_id,region,channel,units_sold,selling_price,promotion_flag,discount_pct,holiday_flag
S0000000,2023-10-01,P00288,South,,1,121.11,,10,
S0000001,2024-09-10,P00282,,Wholesale,5,121.11,,80,
S0000002,2022-06-22,P00266,North,,100,121.11,1,80,1
S0000003,2024-10-10,P00273,East,Online,20,121.11,,10,0
S0000004,2022-12-17,P00112,NORTH ,,1,121.11,,,1
S0000005,2022-08-15,P00202,north,Retail,1,121.11,,5,1
S0000006,2024-09-12,P00212,,Online,100,121.11,,30,
S0000007,2023-06-07,P00078,north,,100,121.11,0,0,0
S0000008,2022-02-13,P00290,NORTH ,online ,-10,121.11,1,30,0
S0000009,2024-10-12,P00223,NORTH ,Wholesale,500,121.11,,5,1
S0000010,2024-06-21,P00146,East,online ,20,121.11,,,1
S0000011,2024-10-20,P00267,,,5,121.11,,30,1
S0000012,2024-01-20,P00278,East,Online,-10,121.11,1,,
S0000013,2024-04-19,P00129,NORTH ,Online,5,121.11,0,30,0
S0000014,2024-07-27,P00292,North,Online,100,121.11,1,10,0
S0000015,2022-01-24,P00290,north,Wholesale,0,121.11,1,5,0
S0000016,2024-01-28,P00227,NORTH ,Retail,-10,121.11,0,10,0
S0000017,2024-01-21,P00106,South,Retail,5,121.11,0,,0
S0000018,2022-08-29,P00251,South,online ,,121.11,1,80,1
S0000019,2022-02-01,P00020,South,,100,121.11,0,30,
S0000020,2024-05-19,P00044,north,Online,500,121.11,1,10,
S0000021,2023-04-18,P00165,North,online ,5,121.11,,5,0
S0000022,2023-05-31,P00096,north,online ,-10,121.11,,0,1
S0000023,2022-01-02,P00065,South,,-10,121.11,1,,
S0000024,2022-05-23,P00102,north,Online,100,121.11,0,,
S0000025,2022-10-28,P00016,East,,20,121.11,0,,1
S0000026,2024-09-17,P00231,North,Wholesale,1,121.11,,10,1
S0000027,2022-03-07,P00134,NORTH ,Retail,100,121.11,,80,0
S0000028,2023-01-23,P00169,East,Wholesale,1,121.11,1,80,0
S0000029,2023-08-14,P00041,NORTH ,,500,121.11,,,1
S0000030,2023-05-01,P00110,East,online ,1,121.11,1,,0
S0000031,2023-12-05,P00286,South,Retail,5,121.11,,30,
S0000032,2023-11-02,P00139,NORTH ,online ,0,121.11,1,10,0
S0000033,2022-07-08,P00094,NORTH ,Online,-10,121.11,,5,0
S0000034,2023-10-30,P00110,North,Retail,20,121.11,1,5,
S0000035,2022-04-29,P00159,NORTH ,Retail,0,121.11,0,80,
S0000036,2023-08-10,P00004,East,Retail,1,121.11,,80,
S0000037,2023-08-20,P00046,North,,5,121.11,,10,
S0000038,2023-06-19,P00114,North,Wholesale,20,121.11,,30,
S0000039,2023-05-23,P00236,NORTH ,Wholesale,500,121.11,,0,1
S0000040,2022-04-08,P00063,North,Wholesale,-10,121.11,1,30,
S0000041,2023-02-13,P00157,East,Retail,5,121.11,,,0
S0000042,2022-03-27,P00286,East,Online,100,121.11,0,,
S0000043,2023-02-09,P00257,East,Retail,,121.11,,5,0
S0000044,2022-07-05,P00082,north,Wholesale,-10,121.11,1,,
S0000045,2023-07-12,P00195,North,online ,5,121.11,1,80,0
S0000046,2024-07-31,P00194,,,500,121.11,,10,1
S0000047,2024-10-21,P00002,South,Retail,5,121.11,0,,0
S0000048,2024-10-10,P00244,,Retail,5,121.11,0,0,1
S0000049,2024-07-07,P00133,,Retail,-10,121.11,0,10,
S0000050,2023-03-10,P00228,north,Retail,500,121.11,,30,1
S0000051,2022-05-24,P00228,,Retail,5,121.11,0,80,0
S0000052,2023-04-29,P00277,South,Wholesale,5,121.11,0,30,1
S0000053,2022-05-09,P00224,north,online ,,121.11,1,30,0
S0000054,2024-10-30,P00089,,online ,,121.11,0,30,
S0000055,2022-07-08,P00066,North,,500,121.11,1,5,0
S0000056,2023-03-24,P00236,North,Wholesale,100,121.11,,30,0
S0000057,2022-12-19,P00135,North,,5,121.11,,80,1
S0000058,2022-10-27,P00047,South,Retail,,121.11,1,5,
S0000059,2024-07-10,P00106,NORTH ,Wholesale,0,121.11,,10,0
S0000060,2024-07-12,P00005,north,Online,,121.11,0,5,1
S0000061,2022-12-04,P00031,north,,0,121.11,0,10,1
S0000062,2024-12-03,P00019,South,online ,100,121.11,,,
S0000063,2024-03-19,P00117,,,5,121.11,0,,
S0000064,2023-02-02,P00085,NORTH ,,0,121.11,,0,0
S0000065,2022-05-20,P00168,East,Retail,5,121.11,1,0,
S0000066,2024-05-18,P00226,,Retail,0,121.11,,80,1
S0000067,2022-04-30,P00131,South,Wholesale,,121.11,,10,1
S0000068,2022-02-14,P00031,north,,,121.11,0,30,1
S0000069,2022-02-25,P00036,East,Online,-10,121.11,0,30,0
S0000070,2023-01-23,P00096,NORTH ,Online,1,121.11,1,10,1
S0000071,2023-12-11,P00020,South,Online,5,121.11,1,30,0
S0000072,2024-02-08,P00130,North,Online,1,121.11,0,0,0
S0000073,2023-07-31,P00007,South,Wholesale,1,121.11,1,30,
S0000074,2023-07-08,P00223,north,,5,121.11,1,,
S0000075,2022-05-31,P00236,north,,500,121.11,0,80,
S0000076,2023-07-22,P00156,NORTH ,online ,-10,121.11,,5,1
S0000077,2023-03-29,P00114,North,Retail,5,121.11,1,30,0
S0000078,2023-12-15,P00041,NORTH ,Retail,1,121.11,1,80,1
S0000079,2023-06-27,P00299,,Retail,-10,121.11,0,30,0
S0000080,2023-01-21,P00167,north,Online,20,121.11,0,10,
S0000081,2022-11-09,P00137,North,,,121.11,0,,
S0000082,2022-10-12,P00229,NORTH ,,0,121.11,1,0,1
S0000083,2024-06-15,P00075,NORTH ,Wholesale,,121.11,,5,1
S0000084,2024-02-26,P00095,South,online ,1,121.11,0,5,0
S0000085,2022-04-14,P00022,north,Wholesale,5,121.11,1,30,0
S0000086,2022-06-18,P00224,East,,100,121.11,1,80,
S0000087,2023-07-24,P00070,South,Wholesale,1,121.11,1,30,0
S0000088,2024-10-25,P00236,NORTH ,Online,0,121.11,0,80,0
S0000089,2024-02-26,P00221,NORTH ,Online,0,121.11,1,30,0
S0000090,2024-01-01,P00030,NORTH ,online ,1,121.11,,80,1
S0000091,2024-09-29,P00024,North,Retail,20,121.11,,,1
S0000092,2023-02-18,P00024,North,,0,121.11,0,80,1
S0000093,2022-12-05,P00142,north,online ,,121.11,,10,1
S0000094,2024-08-03,P00135,East,online ,20,121.11,,80,1
S0000095,2024-08-06,P00137,NORTH ,online ,1,121.11,0,5,1
S0000096,2022-08-23,P00081,North,online ,-10,121.11,1,,
S0000097,2024-09-23,P00027,,online ,-10,121.11,,30,0
S0000098,2023-06-23,P00077,North,Online,500,121.11,0,10,1
S0000099,2022-10-20,P00112,East,Wholesale,1,121.11,,5,1
S0000100,2023-09-16,P00265,East,online ,5,121.11,1,10,
S0000101,2022-09-06,P00137,north,Retail,1,121.11,0,,1
S0000102,2022-11-19,P00042,north,Retail,-10,121.11,,80,0
S0000103,2022-05-22,P00198,East,Retail,5,121.11,,5,0
S0000104,2024-08-19,P00046,North,Online,20,121.11,0,10,
S0000105,2023-08-23,P00225,South,Wholesale,5,121.11,0,10,0
S0000106,2023-03-11,P00022,East,online ,1,121.11,1,80,1
S0000107,2024-12-20,P00097,NORTH ,,0,121.11,0,80,
S0000108,2023-04-01,P00110,East,online ,500,121.11,1,5,0
S0000109,2024-07-23,P00147,,online ,0,121.11,1,10,0
S0000110,2023-09-02,P00103,,Online,5,121.11,1,10,1
S0000111,2024-07-30,P00154,East,Retail,1,121.11,,10,0
S0000112,2024-03-24,P00203,north,Online,0,121.11,0,10,
S0000113,2024-09-24,P00254,East,Wholesale,1,121.11,0,,1
S0000114,2024-01-12,P00084,north,Retail,500,121.11,1,30,0
S0000115,2024-06-13,P00152,South,Online,1,121.11,,,1
S0000116,2023-12-30,P00120,north,,500,121.11,0,10,
S0000117,2023-08-10,P00265,NORTH ,Retail,1,121.11,0,80,1
S0000118,2024-06-18,P00053,NORTH ,,-10,121.11,,5,0
S0000119,2023-08-08,P00136,South,online ,1,121.11,0,80,
S0000120,2023-05-27,P00105,East,online ,20,121.11,,10,0
S0000121,2022-05-08,P00082,East,,20,121.11,0,,0
S0000122,2023-08-26,P00065,north,Online,1,121.11,,30,0
S0000123,2024-08-27,P00262,South,online ,20,121.11,,5,
S0000124,2022-09-16,P00250,,online ,1,121.11,,0,
S0000125,2023-07-13,P00074,north,,100,121.11,0,0,
S0000126,2023-05-02,P00037,north,Online,5,121.11,0,30,1
