shipment_id,source_warehouse,destination_region,carrier,dispatch_date,expected_delivery_days,actual_delivery_days,delay_flag,logistics_cost
SHIP0000000,,SOUTH,DHL,2022-03-18,2,1,0,15000
SHIP0000001,WH02,North,Delhivery,2023-12-06,2,1,,-100
SHIP0000002,WH01,SOUTH,DHL,2022-02-18,2,1,,500
SHIP0000003,WH01,north ,FedEx,2022-03-22,7,10,1,15000
SHIP0000004,WH02,,FedEx,2022-10-11,2,3,,15000
SHIP0000005,WH01,North,FedEx,2024-04-02,,,,500
SHIP0000006,WH01,,BlueDart,2024-11-25,7,25,0,-100
SHIP0000007,wh-02,north ,FedEx,2023-04-19,2,25,,2000
SHIP0000008,WH01,,,2023-03-30,5,1,0,-100
SHIP0000009,,SOUTH,,2023-05-06,2,25,1,-100
SHIP0000010,wh-02,,,2023-02-13,2,25,,500
SHIP0000011,WH01,SOUTH,DHL,2024-04-30,2,10,,
SHIP0000012,,,FedEx,2022-01-05,5,3,0,500
SHIP0000013,WH02,,,2024-09-27,,,,
SHIP0000014,WH01,SOUTH,BlueDart,2024-12-18,5,10,,15000
SHIP0000015,WH02,SOUTH,FedEx,2023-06-16,2,1,,-100
SHIP0000016,WH02,North,BlueDart,2023-04-14,5,1,0,500
SHIP0000017,,North,FedEx,2023-03-04,2,3,1,15000
SHIP0000018,wh-02,SOUTH,DHL,2022-07-23,5,25,,-100
SHIP0000019,WH01,north ,Delhivery,2024-11-01,7,25,,2000
SHIP0000020,WH01,north ,DHL,2023-03-31,7,25,0,15000
SHIP0000021,WH02,SOUTH,BlueDart,2022-10-13,7,10,0,500
SHIP0000022,,North,FedEx,2024-01-17,2,10,,500
SHIP0000023,WH02,North,FedEx,2022-02-10,5,,0,15000
SHIP0000024,WH01,,DHL,2023-01-23,5,,1,
SHIP0000025,WH02,,FedEx,2024-01-31,5,10,,15000
SHIP0000026,,north ,BlueDart,2022-05-17,7,3,,
SHIP0000027,wh-02,SOUTH,Delhivery,2023-05-15,5,,1,2000
SHIP0000028,WH02,SOUTH,FedEx,2022-05-11,,,1,15000
SHIP0000029,WH01,north ,,2023-06-28,2,1,0,500
SHIP0000030,,North,BlueDart,2022-04-27,5,3,0,-100
SHIP0000031,WH02,,Delhivery,2022-08-19,,1,1,15000
SHIP0000032,wh-02,,DHL,2022-02-08,5,1,0,500
SHIP0000033,WH02,north ,BlueDart,2023-06-27,2,1,1,
SHIP0000034,,SOUTH,FedEx,2022-09-20,5,25,0,2000
SHIP0000035,wh-02,North,Delhivery,2023-08-27,7,25,0,500
SHIP0000036,WH02,North,BlueDart,2023-11-02,5,3,1,15000
SHIP0000037,WH01,north ,DHL,2023-10-10,2,1,1,-100
SHIP0000038,WH02,SOUTH,DHL,2024-07-07,,1,0,
SHIP0000039,,North,FedEx,2022-10-29,2,3,1,15000
SHIP0000040,WH01,North,Delhivery,2022-07-12,2,1,,15000
SHIP0000041,,SOUTH,FedEx,2022-01-27,7,,0,500
SHIP0000042,wh-02,North,DHL,2024-01-01,,3,,2000
SHIP0000043,wh-02,SOUTH,FedEx,2023-08-01,5,10,,2000
SHIP0000044,,,Delhivery,2023-10-28,,10,,2000
SHIP0000045,,SOUTH,DHL,2024-06-10,5,10,,2000
SHIP0000046,WH01,SOUTH,,2024-05-28,2,10,1,500
SHIP0000047,,north ,BlueDart,2023-09-13,7,1,,500
SHIP0000048,WH01,North,DHL,2024-11-15,2,3,1,2000
SHIP0000049,WH02,north ,,2024-02-11,,25,,500
SHIP0000050,wh-02,,FedEx,2024-10-03,7,1,,500
SHIP0000051,wh-02,north ,FedEx,2022-02-04,7,1,0,15000
SHIP0000052,WH02,,,2024-07-19,5,,0,
SHIP0000053,WH02,north ,Delhivery,2024-04-21,,1,1,15000
SHIP0000054,WH02,north ,,2022-03-10,2,25,0,
SHIP0000055,,North,FedEx,2024-04-05,7,1,,15000
SHIP0000056,wh-02,,Delhivery,2022-04-04,2,,0,15000
SHIP0000057,,SOUTH,,2022-02-15,5,25,0,2000
SHIP0000058,wh-02,north ,DHL,2023-05-16,2,10,,15000
SHIP0000059,wh-02,North,FedEx,2024-06-26,7,1,,
SHIP0000060,WH02,SOUTH,BlueDart,2023-04-09,5,10,1,
SHIP0000061,wh-02,,DHL,2022-10-28,2,25,1,-100
SHIP0000062,WH02,North,BlueDart,2024-06-20,5,3,,500
SHIP0000063,WH01,SOUTH,Delhivery,2023-08-08,,3,0,500
SHIP0000064,WH02,North,DHL,2023-12-17,7,3,0,500
SHIP0000065,WH01,North,DHL,2024-05-25,,,1,2000
SHIP0000066,,north ,DHL,2024-07-14,7,10,0,15000
SHIP0000067,WH01,,BlueDart,2024-12-24,2,3,0,
SHIP0000068,wh-02,north ,FedEx,2022-07-01,2,25,1,500
SHIP0000069,wh-02,North,DHL,2024-09-20,2,,1,
SHIP0000070,,,Delhivery,2024-10-08,2,3,0,500
SHIP0000071,WH01,SOUTH,Delhivery,2024-06-12,2,3,0,15000
SHIP0000072,WH01,SOUTH,Delhivery,2022-12-14,5,3,0,2000
SHIP0000073,WH02,North,FedEx,2022-12-15,7,10,0,2000
SHIP0000074,WH01,,,2023-01-18,5,3,0,2000
SHIP0000075,WH01,North,,2023-05-25,7,25,0,500
SHIP0000076,,SOUTH,,2023-10-06,2,3,0,
SHIP0000077,WH01,North,Delhivery,2023-12-20,2,10,,-100
SHIP0000078,wh-02,,FedEx,2022-01-03,,25,1,500
SHIP0000079,,SOUTH,,2022-11-06,7,25,1,-100
SHIP0000080,,,BlueDart,2022-02-23,,25,1,2000
SHIP0000081,WH01,,BlueDart,2023-10-21,,10,,-100
SHIP0000082,wh-02,north ,DHL,2024-04-22,,25,,15000
SHIP0000083,WH02,,BlueDart,2022-12-28,7,10,0,
SHIP0000084,WH02,North,DHL,2023-11-14,5,1,0,2000
SHIP0000085,wh-02,North,FedEx,2023-09-15,5,3,,2000
SHIP0000086,wh-02,North,DHL,2022-03-20,2,10,0,-100
SHIP0000087,WH01,,BlueDart,2022-03-13,,25,0,15000
SHIP0000088,,,Delhivery,2022-03-31,,25,0,500
SHIP0000089,,SOUTH,Delhivery,2023-12-04,7,25,0,500
SHIP0000090,,,DHL,2023-02-26,2,25,1,2000
SHIP0000091,wh-02,north ,Delhivery,2022-09-30,,3,,500
SHIP0000092,WH01,North,,2022-01-09,,,,500
SHIP0000093,wh-02,North,,2023-04-25,2,3,1,-100
SHIP0000094,wh-02,north ,Delhivery,2022-02-10,5,3,,15000
SHIP0000095,wh-02,SOUTH,BlueDart,2022-07-02,5,3,,-100
SHIP0000096,,SOUTH,FedEx,2022-03-07,,3,0,
SHIP0000097,,North,BlueDart,2024-10-23,,25,1,2000
SHIP0000098,,,DHL,2024-05-27,5,10,,
SHIP0000099,WH02,north ,FedEx,2022-01-02,2,3,0,15000
SHIP0000100,,SOUTH,DHL,2022-06-02,,,,500
SHIP0000101,WH01,SOUTH,FedEx,2022-11-21,,3,0,
SHIP0000102,WH01,north ,Delhivery,2023-05-06,7,25,0,-100
SHIP0000103,wh-02,north ,BlueDart,2022-06-21,2,10,1,-100
SHIP0000104,wh-02,north ,Delhivery,2024-03-18,5,25,0,15000
SHIP0000105,,,FedEx,2024-07-20,7,10,,2000
SHIP0000106,,north ,Delhivery,2023-01-08,5,3,1,15000
SHIP0000107,,,,2023-09-02,2,1,1,
SHIP0000108,,North,DHL,2023-03-28,2,3,0,-100
SHIP0000109,wh-02,SOUTH,Delhivery,2024-01-24,7,25,1,2000
SHIP0000110,WH02,SOUTH,FedEx,2024-09-27,,10,0,500
SHIP0000111,wh-02,SOUTH,DHL,2024-06-22,,3,,
SHIP0000112,wh-02,North,FedEx,2023-04-14,5,1,1,15000
SHIP0000113,,,DHL,2024-05-11,5,1,0,-100
SHIP0000114,,,,2024-10-17,,3,0,15000
SHIP0000115,,SOUTH,DHL,2023-05-22,,10,0,-100
SHIP0000116,wh-02,,Delhivery,2024-11-26,,1,0,
SHIP0000117,WH02,North,BlueDart,2023-04-24,2,3,,15000
SHIP0000118,wh-02,North,,2022-01-11,5,25,1,500
SHIP0000119,WH02,north ,Delhivery,2024-04-24,,10,0,15000
SHIP0000120,WH02,,,2024-02-13,5,3,,500
SHIP0000121,,north ,Delhivery,2022-03-30,2,,1,-100
SHIP0000122,WH01,,FedEx,2022-08-18,5,3,1,2000
SHIP0000123,WH01,SOUTH,,2023-01-12,,25,,500
SHIP0000124,WH01,SOUTH,Delhivery,2022-04-09,7,1,0,500
SHIP0000125,WH01,north ,BlueDart,2024-11-25,2,1,,500
SHIP0000126,,North,Delhivery,2022-10-30,5,25,0,500
SHIP0000127,wh-02,,FedEx,2024-02-17,2,10,0,500
SHIP0000128,wh-02,North,,2024-08-03,,,,2000
SHIP0000129,wh-02,SOUTH,FedEx,2024-05-03,7,10,1,-100
SHIP0000130,WH01,North,BlueDart,2023-03-10,2,,0,-100
SHIP0000131,,North,FedEx,2022-04-28,2,,0,500
SHIP0000132,WH01,,Delhivery,2023-03-06,2,25,,500
SHIP0000133,wh-02,North,FedEx,2023-08-28,2,1,1,500
SHIP0000134,WH02,north ,BlueDart,2024-08-28,5,3,0,
SHIP0000135,WH02,north ,Delhivery,2023-09-25,,25,0,15000
SHIP0000136,WH02,North,BlueDart,2022-02-17,7,3,0,500
SHIP0000137,WH02,North,Delhivery,2023-03-21,7,,1,2000
SHIP0000138,wh-02,SOUTH,Delhivery,2023-04-17,,,1,15000
SHIP0000139,WH01,,BlueDart,2024-09-16,,3,,2000
SHIP0000140,WH02,SOUTH,Delhivery,2023-01-08,2,10,1,2000
SHIP0000141,WH02,North,BlueDart,2022-06-29,,1,0,500
SHIP0000142,WH02,north ,Delhivery,2023-12-18,2,1,0,-100
SHIP0000143,WH01,SOUTH,Delhivery,2024-04-28,5,,1,15000
SHIP0000144,WH02,,DHL,2024-01-31,5,10,,2000
SHIP0000145,,SOUTH,BlueDart,2023-05-04,5,3,1,2000
SHIP0000146,,north ,BlueDart,2023-07-07,2,,,15000
SHIP0000147,,North,,2024-02-01,,25,,500
SHIP0000148,wh-02,SOUTH,Delhivery,2024-08-31,5,25,0,500
SHIP0000149,WH02,North,FedEx,2022-07-06,2,,,500
SHIP0000150,,north ,FedEx,2022-08-31,2,1,1,-100
SHIP0000151,WH02,North,FedEx,2024-07-28,,1,,500
SHIP0000152,wh-02,north ,BlueDart,2024-08-21,2,1,1,15000
SHIP0000153,wh-02,North,BlueDart,2024-05-05,2,1,1,2000
SHIP0000154,WH02,North,,2022-06-05,2,,0,-100
SHIP0000155,wh-02,North,DHL,2022-09-22,7,3,0,
SHIP0000156,,,Delhivery,2022-01-16,5,,1,-100
SHIP0000157,WH01,SOUTH,FedEx,2022-04-09,,,0,15000
SHIP0000158,,North,DHL,2023-09-17,7,,1,
SHIP0000159,,North,DHL,2022-11-30,7,10,1,-100
SHIP0000160,WH02,,,2022-06-24,7,10,0,
SHIP0000161,,SOUTH,FedEx,2023-09-05,7,3,,500
SHIP0000162,wh-02,SOUTH,DHL,2023-08-04,7,,1,15000
SHIP0000163,wh-02,,,2023-09-05,7,1,0,15000
SHIP0000164,WH02,SOUTH,FedEx,2022-08-09,,10,0,
SHIP0000165,WH02,north ,FedEx,2023-03-21,7,25,,2000
SHIP0000166,,SOUTH,FedEx,2024-01-16,5,,,-100
SHIP0000167,WH02,North,BlueDart,2023-03-11,2,3,,2000
SHIP0000168,,North,Delhivery,2023-07-14,5,10,1,2000
SHIP0000169,WH01,north ,BlueDart,2023-06-25,5,1,0,15000
SHIP0000170,wh-02,north ,FedEx,2024-11-19,2,10,0,-100
SHIP0000171,WH01,,Delhivery,2023-01-18,7,3,0,500
SHIP0000172,WH01,North,DHL,2024-08-01,2,3,0,
SHIP0000173,,SOUTH,,2023-09-27,5,3,1,500
SHIP0000174,WH02,SOUTH,DHL,2024-01-15,5,3,,-100
SHIP0000175,,,BlueDart,2024-04-17,2,3,,500
SHIP0000176,WH01,,,2024-12-08,5,10,1,2000
SHIP0000177,,SOUTH,,2022-10-14,7,,1,500
SHIP0000178,wh-02,North,,2022-05-22,,3,1,-100
SHIP0000179,WH02,North,Delhivery,2022-12-17,5,1,0,
SHIP0000180,WH02,,DHL,2022-01-23,,,0,15000
SHIP0000181,wh-02,north ,Delhivery,2024-08-14,2,1,0,15000
SHIP0000182,WH01,,,2022-02-10,7,25,1,15000
SHIP0000183,wh-02,North,FedEx,2022-09-25,,3,1,500
