Order_ID,Order_Date,SKU_ID,Product_Name,Category,Sub_Category,Brand,Amazon_MRP,Sell_Price,Discount_Pct,Quantity,Revenue_INR,Net_Revenue_INR,Order_Status,Sales_Channel,Fulfilment,B2B_Flag,Region,City,Courier_Partner,Warehouse,Delivery_Days,Shipping_Cost_INR,Return_Flag,Currency,Month,Week,Day_of_Week,YM
ORD-2024-100000,2024-01-25,AMZ-IN-E005,Zebronics Zeb-Duke1 Headset,Electronics & Mobiles,Gaming Headset,Zebronics,999,915.08,8.4,1,915.08,915.08,Delivered,Shiprocket,Merchant,0,Karnataka,Mysuru,XpressBees,Hyderabad WH,1.0,43.54,0,INR,2024-01,2024-01-22/2024-01-28,Thursday,2024-01
ORD-2024-100001,2024-01-22,AMZ-IN-F011,Dollar Bigboss Vest Pack of 3,Fashion & Apparel,Innerwear,Dollar,399,324.39,18.7,4,1297.56,1297.56,Delivered,Amazon.in,Amazon,0,Tamil Nadu,Madurai,XpressBees,Bengaluru WH,4.0,40.82,0,INR,2024-01,2024-01-22/2024-01-28,Monday,2024-01
ORD-2024-100002,2024-01-26,AMZ-IN-E012,Canon PIXMA G3010 Printer,Electronics & Mobiles,Printer,Canon,12999,11465.12,11.8,1,11465.12,11465.12,Delivered,Shiprocket,Merchant,0,Karnataka,Hubli,XpressBees,Bengaluru WH,1.0,104.64,0,INR,2024-01,2024-01-22/2024-01-28,Friday,2024-01
ORD-2024-100003,2024-01-11,AMZ-IN-E006,Noise ColorFit Pro 5 Watch,Electronics & Mobiles,Smartwatch,Noise,3499,3285.56,6.1,1,3285.56,3285.56,Delivered,Amazon.in,Amazon,0,Tamil Nadu,Madurai,Ecom Express,Bengaluru WH,1.0,43.71,0,INR,2024-01,2024-01-08/2024-01-14,Thursday,2024-01
ORD-2024-100004,2024-01-11,AMZ-IN-F011,Dollar Bigboss Vest Pack of 3,Fashion & Apparel,Innerwear,Dollar,399,255.36,36.0,1,255.36,255.36,Delivered,Amazon.in,Amazon,0,Uttar Pradesh,Varanasi,Ecom Express,Mumbai WH,8.0,60.35,0,INR,2024-01,2024-01-08/2024-01-14,Thursday,2024-01
ORD-2024-100005,2024-01-11,AMZ-IN-E013,Logitech MK215 Keyboard+Mouse,Electronics & Mobiles,Peripherals,Logitech,1495,1315.6,12.0,1,1315.6,1315.6,Delivered,Amazon.in,Amazon,0,Telangana,Karimnagar,DTDC,Bengaluru WH,2.0,37.69,0,INR,2024-01,2024-01-08/2024-01-14,Thursday,2024-01
ORD-2024-100006,2024-01-22,AMZ-IN-E012,Canon PIXMA G3010 Printer,Electronics & Mobiles,Printer,Canon,12999,9476.27,27.1,6,56857.62,56857.62,Delivered,INCREFF B2B,Merchant,1,Telangana,Karimnagar,Ecom Express,Hyderabad WH,3.0,457.62,0,INR,2024-01,2024-01-22/2024-01-28,Monday,2024-01
ORD-2024-100007,2024-01-17,AMZ-IN-F004,Levi's 511 Slim Fit Jeans,Fashion & Apparel,Denim,Levis,3499,2515.78,28.1,2,5031.56,0.0,Returned,Amazon.in,Amazon,0,Karnataka,Mangaluru,Delhivery,Bengaluru WH,,51.45,1,INR,2024-01,2024-01-15/2024-01-21,Wednesday,2024-01
ORD-2024-100008,2024-01-22,AMZ-IN-H007,Borosil Vision Glass Set 6pc,Home & Kitchen,Glassware,Borosil,699,581.57,16.8,1,581.57,581.57,Delivered,Shiprocket,Merchant,0,Maharashtra,Nagpur,DTDC,Mumbai WH,2.0,51.18,0,INR,2024-01,2024-01-22/2024-01-28,Monday,2024-01
ORD-2024-100009,2024-01-02,AMZ-IN-F005,W for Woman Flared Kurta,Fashion & Apparel,Ethnic Wear,W,1099,891.29,18.9,2,1782.58,1782.58,Shipped,Shiprocket,Merchant,0,Uttar Pradesh,Kanpur,Delhivery,Mumbai WH,4.0,73.92,0,INR,2024-01,2024-01-01/2024-01-07,Tuesday,2024-01
ORD-2024-100010,2024-01-17,AMZ-IN-F006,Van Heusen Formal Shirt,Fashion & Apparel,Formals,Van Heusen,1499,1079.28,28.0,3,3237.84,3237.84,Delivered,Shiprocket,Merchant,0,Uttar Pradesh,Varanasi,XpressBees,Delhi WH,1.0,85.97,0,INR,2024-01,2024-01-15/2024-01-21,Wednesday,2024-01
ORD-2024-100011,2024-01-12,AMZ-IN-F006,Van Heusen Formal Shirt,Fashion & Apparel,Formals,Van Heusen,1499,1280.15,14.6,2,2560.3,2560.3,Delivered,Shiprocket,Merchant,0,Delhi,Gurugram,Delhivery,Mumbai WH,1.0,44.76,0,INR,2024-01,2024-01-08/2024-01-14,Friday,2024-01
ORD-2024-100012,2024-01-19,AMZ-IN-F011,Dollar Bigboss Vest Pack of 3,Fashion & Apparel,Innerwear,Dollar,399,308.83,22.6,1,308.83,308.83,Delivered,Shiprocket,Merchant,0,Telangana,Karimnagar,Delhivery,Hyderabad WH,1.0,41.66,0,INR,2024-01,2024-01-15/2024-01-21,Friday,2024-01
ORD-2024-100013,2024-01-21,AMZ-IN-E012,Canon PIXMA G3010 Printer,Electronics & Mobiles,Printer,Canon,12999,10958.16,15.7,1,10958.16,10958.16,Delivered,Amazon.in,Amazon,0,West Bengal,Durgapur,Ecom Express,Delhi WH,1.0,94.94,0,INR,2024-01,2024-01-15/2024-01-21,Sunday,2024-01
ORD-2024-100014,2024-01-25,AMZ-IN-H013,Morphy Richards Fresco Kettle,Home & Kitchen,Kettle,Morphy Richards,1299,967.75,25.5,5,4838.75,4838.75,Delivered,INCREFF B2B,Merchant,1,Maharashtra,Pune,BlueDart,Mumbai WH,1.0,216.36,0,INR,2024-01,2024-01-22/2024-01-28,Thursday,2024-01
ORD-2024-100015,2024-01-18,AMZ-IN-E002,Redmi Note 13 Pro+,Electronics & Mobiles,Smartphone,Xiaomi,26999,24515.09,9.2,1,24515.09,24515.09,Delivered,Shiprocket,Merchant,0,Uttar Pradesh,Kanpur,DTDC,Delhi WH,14.0,51.32,0,INR,2024-01,2024-01-15/2024-01-21,Thursday,2024-01
ORD-2024-100016,2024-01-09,AMZ-IN-P008,Gillette Mach3 Razor Starter,Health & Personal Care,Grooming,Gillette,499,400.7,19.7,2,801.4,801.4,Delivered,Shiprocket,Merchant,0,Gujarat,Ahmedabad,DTDC,Delhi WH,2.0,43.89,0,INR,2024-01,2024-01-08/2024-01-14,Tuesday,2024-01
ORD-2024-100017,2024-01-18,AMZ-IN-P005,Mamaearth Vitamin C Face Serum,Health & Personal Care,Skin Care,Mamaearth,599,473.21,21.0,10,4732.1,4732.1,Delivered,INCREFF B2B,Merchant,1,Maharashtra,Pune,XpressBees,Mumbai WH,1.0,63.13,0,INR,2024-01,2024-01-15/2024-01-21,Thursday,2024-01
ORD-2024-100018,2024-01-24,AMZ-IN-H007,Borosil Vision Glass Set 6pc,Home & Kitchen,Glassware,Borosil,699,557.1,20.3,1,557.1,557.1,Delivered,Shiprocket,Merchant,0,West Bengal,Durgapur,Delhivery,Delhi WH,1.0,64.19,0,INR,2024-01,2024-01-22/2024-01-28,Wednesday,2024-01
